#"Status","Id","Parent","LatinName","UsEnglish","Translation","Synonyms"
"N","259738","0","genu capsulae internae","genu of internal capsule","",""
"N","259746","0","fibrae corticonucleares","corticonuclear fibres","",""
"N","259751","0","crus posterius","posterior limb","",""
"N","259767","0","radiatio thalami centralis","central thalamic radiation","",""
"N","259772","0","fibrae corticoreticulares","corticoreticular fibres","",""
"N","259780","0","fibrae corticorubrales","corticorubral fibres","",""
"N","259795","0","fibrae corticospinales","corticospinal fibres","",""
"N","259805","0","fibrae corticothalamicae","corticothalamic fibres","",""
"N","259818","0","fibrae parietopontinae","parietopontine fibres","",""
"N","259826","0","fibrae thalamoparietales","thalamoparietal fibres","",""
"N","259839","0","pars retrolentiformis","retrolentiform limb","",""
"N","259847","0","fibrae occipitopontinae","occipitopontine fibres","",""
"N","259852","0","fibrae occipitotectales","occipitotectal fibres","",""
"N","259860","0","radiatio optica","optic radiation","",""
"N","259871","0","radiatio thalamica posterior","posterior thalamic radiation","",""
"N","259883","0","pars sublentiformis","sublentiform limb","",""
"N","259894","0","radiatio acustica","acoustic radiation","",""
"N","259901","0","fibrae corticotectales","corticotectal fibres","",""
"N","259917","0","radiatio optica","optic radiation","",""
"N","259925","0","fibrae temporopontinae","temporopontine fibres","",""
"N","259930","0","fibrae corticothalamicae","corticothalamic fibres","",""
"N","259949","0","corona radiata","corona radiata","",""
"N","259958","0","capsula externa","external capsule","",""
"N","259963","0","capsula extrema","extreme capsule","",""
"N","259974","0","fibrae associationis telencephali","association fibres of telencephalon","",""
"N","259982","0","fibrae arcuatae cerebri","arcuate fibres","",""
"N","259996","0","cingulum","cingulum","",""
"N","260003","0","fasciculus longitudinalis inferior","inferior longitudinal fasciculus","",""
"N","260016","0","fasciculus longitudinalis superior","superior longitudinal fasciculus","",""
"N","260027","0","fibrae associationis longae","long association fibres","",""
"N","260034","0","fibrae associationis breves","short association fibres","",""
"N","260042","0","fasciculus uncinatus","uncinate fasciculus","",""
"N","260050","0","fasciculus occipitofrontalis inferior","inferior occipitofrontal fasciculus","",""
"N","260069","0","fasciculus occipitofrontalis superior","superior occipitofrontal fasciculus","",""
"N","260075","0","fasciculi occipitales verticales","vertical occipital fasciculi","",""
"N","260088","0","fibrae laterales","lateral fibres","",""
"N","260091","0","fibrae caudales","caudal fibres","",""
"N","260109","0","fasciculi occipitales horizontales","transverse occipital fasciculi","",""
"N","260114","0","fibrae cuneatae","cuneus fibres","",""
"N","260123","0","fibrae linguales","lingual fibres","",""
"N","260138","0","fibrae commissurales telencephali","commissural fibres of telencephalon","",""
"N","260146","0","fibrae corporis callosi","corpus callosum fibres","",""
"N","260151","0","commissura hippocampi","hippocampal commissure","",""
"N","260167","0","substantia alba telencephali","white substance of telencephalon","",""
"N","260172","0","aggregationes cellularum chemergicarum","chemically-defined cell groups","",""
"N","260180","0","cellulae aminergicae","aminergic cells","",""
"N","260195","0","cellulae noradrenergicae medullae oblongatae [A1, A2]","noradrenergic cells in medulla","",""
"N","260205","0","cellulae noradrenergicae nuclei lemnisci lateralis [A7]","noradrenergic cells in nucleus of lateral lemniscus","",""
"N","260218","0","cellulae noradrenergicae nuclei caerulei [A6]","noradrenergic cells in nucleus caeruleus","",""
"N","260226","0","cellulae noradrenergicae pontis caudalis lateralis [A5]","noradrenergic cells in caudolateral pons","",""
"N","260239","0","cellulae aminergicae formationis reticularis","aminergic cells in reticular formation","",""
"N","260247","0","cellulae dopaminergicae","dopaminergic cells","",""
"N","260252","0","cellulae noradrenergicae","noradrenergic cells","",""
"N","260260","0","cellulae aminergicae partis compactae substantiae nigrae [A9]","aminergic cells in compact part of substantia nigra [A9]","",""
"N","260271","0","cellulae dopaminergicae","dopaminergic cells","",""
"N","260283","0","cellulae noradrenergicae","noradrenergic cells","",""
"N","260294","0","cellulae aminergicae areae tegmentalis ventralis [A10]","aminergic cells in ventral tegmental area [A10]","",""
"N","260302","0","cellulae dopaminergicae","dopaminergic cells","",""
"N","260315","0","cellulae noradrenergicae","noradrenergic cells","",""
"N","260328","0","cellulae dopaminergicae areae hypothalamicae posterioris [A11]","dopaminergic cells in posterior hypothalamus [A11]","",""
