#"Status","Id","Parent","LatinName","UsEnglish","Translation","Synonyms"
"N","261847","0","rr. ganglionares submandibulares n. mandibularis","branches of mandibular nerve to submandibular ganglion","",""
"N","261852","0","rr. ganglionares sublinguales n. mandibularis","branches of mandibular nerve to sublingual ganglion","",""
"N","261860","0","n. alveolaris inferior","inferior alveolar nerve","",""
"N","261871","0","n. mylohyoideus","nerve to mylohyoid","",""
"N","261883","0","plexus dentalis inferior","inferior dental plexus","",""
"N","261894","0","rr. dentales inferiores","inferior dental branches","",""
"N","261901","0","rr. gingivales inferiores","inferior gingival branches","",""
"N","261917","0","n. mentalis","mental nerve","",""
"N","261925","0","rr. mentales","mental branches","",""
"N","261930","0","rr. labiales","labial branches","",""
"N","261949","0","rr. gingivales","gingival branches","",""
"N","261958","0","nervus abducens [VI]","abducent nerve","",""
"N","261963","0","nervus facialis [VII]","facial nerve [VII]","",""
"N","261974","0","geniculum","geniculum","",""
"N","261982","0","n. stapedius","nerve to stapedius","",""
"N","261996","0","n. auricularis posterior","posterior auricular nerve","",""
"N","262006","0","r. occipitalis","occipital branch","",""
"N","262011","0","r. auricularis","auricular branch","",""
"N","262022","0","r. digastricus","digastric branch","",""
"N","262033","0","r. stylohyoideus","stylohyoid branch","",""
"N","262040","0","r. communicans glossopharyngeus","communicating branch with glossopharyngeal nerve","",""
"N","262054","0","plexus intraparotideus","parotid plexus","",""
"N","262065","0","rr. temporales","temporal branches","",""
"N","262079","0","rr. zygomatici","zygomatic branches","",""
"N","262087","0","rr. buccales","buccal branches","",""
"N","262098","0","r. lingualis","lingual branch","",""
"N","262104","0","r. marginalis mandibularis","marginal mandibular branch","",""
"N","262112","0","r. colli","cervical branch","",""
"N","262120","0","nervus intermedius","intermediate nerve","",""
"N","262136","0","ganglion geniculi","geniculate ganglion","",""
"N","262148","0","n. petrosus major","greater petrosal nerve","",""
"N","262157","0","chorda tympani","chorda tympani","",""
"N","262161","0","r. communicans tympanicus","communicating branch with tympanic plexus","",""
"N","262173","0","r. communicans vagus","communicating branch with vagus nerve","",""
"N","262185","0","nervus vestibulocochlearis [VIII]","vestibulocochlear nerve [VIII]","",""
"N","262199","0","nervus vestibularis","vestibular nerve","",""
"N","262200","0","ganglion vestibulare","vestibular ganglion","",""
"N","262213","0","r. communicans cochlearis","cochlear communicating branch","",""
"N","262221","0","pars superior","superior part","",""
"N","262237","0","n. utriculoampullaris","utriculo-ampullary nerve","",""
"N","262245","0","n. utricularis","utricular nerve","",""
"N","262259","0","n. ampullaris anterior","anterior ampullary nerve","",""
"N","262268","0","n. ampullaris lateralis","lateral ampullary nerve","",""
"N","262276","0","pars inferior","inferior part","",""
"N","262284","0","n. ampullaris posterior","posterior ampullary nerve","",""
"N","262292","0","n. saccularis","saccular nerve","",""
"N","262305","0","nervus cochlearis","cochlear nerve","",""
"N","262318","0","ganglion cochleare","cochlear ganglion","",""
"N","262326","0","nervus glossopharyngeus [IX]","glossopharyngeal nerve [IX]","",""
"N","262339","0","ganglion superius","superior ganglion","",""
"N","262347","0","ganglion inferius","inferior ganglion","",""
"N","262352","0","n. tympanicus","tympanic nerve","",""
