#"AnaTermId","ParentId","LatinTerm","EnglishTerm","TA1","TA2","Sex","Type"
"102103","102036","Sulcus infrapalpebralis","Infrapalpebral sulcus","A01.2.01.011","210","B",""
"102116","102036","Plica palpebronasalis","Palpebronasal fold","A15.2.07.028","211","B",""
"102127","102020","Regio infraorbitalis","Infraorbital region","A01.2.01.012","212","B",""
"102134","102020","Regio buccalis","Buccal region","A01.2.01.013","213","B",""
"102142","102020","Regio parotideomasseterica","Parotideomasseteric region","A01.2.01.014","214","B",""
"102150","102020","Regio zygomatica","Zygomatic region","A01.2.01.015","215","B",""
"102169","102020","Regio nasalis","Nasal region","A01.2.01.016","216","B",""
"102175","102169","Radix nasi","Root of nose","A06.1.01.002","217","B",""
"102188","102169","Dorsum nasi","Dorsum of nose","A06.1.01.003","218","B",""
"102191","102169","Apex nasi","Apex of nose","A06.1.01.004","219","B",""
"102209","102020","Sulcus nasolabialis","Nasolabial sulcus","A01.2.01.017","220","B",""
"102214","102020","Regio oralis","Oral region","A01.2.01.018","221","B",""
"102223","102214","Philtrum","Philtrum","A05.1.01.007","222","B",""
"102238","102214","Tuberculum labii superioris","Tubercle of upper lip","","223","B",""
"102246","102214","Commissura labiorum oris","Labial commissure","A05.1.01.012","224","B",""
"102251","102214","Angulus oris","Angle of mouth","A05.1.01.013","225","B",""
"102267","102020","Sulcus mentolabialis","Mentolabial sulcus","A01.2.01.019","226","B",""
"102272","102020","Regio mentalis","Mental region","A01.2.01.020","227","B",""
"102280","101760","Regiones colli","Regions of neck","A01.2.02.001","228","B","G"
"102295","102280","Regio anterior colli","Anterior region of neck","A01.2.02.002","229","B",""
"102307","102295","Trigonum anterius  colli","Anterior triangle of neck","","230","B",""
"102310","102295","Regio suprahyoidea","Suprahyoid region","","231","B",""
"102329","102310","Trigonum submandibulare","Submandibular triangle","A01.2.02.003","232","B",""
"102332","102310","Trigonum submentale","Submental triangle","A01.2.02.006","233","B",""
"102341","102295","Regio infrahyoidea","Infrahyoid region","","234","B",""
"102355","102341","Trigonum caroticum","Carotid triangle","A01.2.02.004","235","B",""
"102364","102341","Trigonum musculare","Muscular triangle","A01.2.02.005","236","B",""
"102378","102280","Regio sternocleidomastoidea","Sternocleidomastoid region","A01.2.02.007","237","B",""
"102386","102378","Fossa supraclavicularis minor","Lesser supraclavicular fossa","A01.2.02.008","238","B",""
"102393","102280","Regio lateralis colli","Lateral region of neck","A01.2.02.009","239","B",""
"102406","102393","Fossa supraclavicularis major","Greater supraclavicular fossa","A01.2.02.011","240","B",""
"102411","102393","Trigonum omoclaviculare","Omoclavicular triangle","A01.2.02.010","241","B",""
"102422","102393","Trigonum occipitale","Occipital triangle","","242","B",""
