#"AnaTermId","ParentId","LatinTerm","EnglishTerm","TA1","TA2","Sex","Type","en","en_Syns","en_GB","en_GB_Syns","la","la_Syns","de","de_Syns","fr","fr_Syns","it","it_Syns","nl","nl_Syns","pl","pl_Syns","pt","pt_Syns","zh","zh_Syns","es","es_Syns"
"100518","100496","Planum paramedianum","Paramedian plane","","51","B","","Paramedian plane","Paramedian sagittal plane","Paramedian plane","Paramedian sagittal plane","Planum paramedianum","","","","","","","","","","","","","","","","",""
"100526","100463","Plana transversa","Transverse planes","","52","B","","Transverse planes","Horizontal planes","Transverse planes","Horizontal planes","Plana transversa","Plana horizontalia","","","","","","","","","","","","","","","",""
"100539","100526","Planum transpyloricum","Transpyloric plane","","53","B","","Transpyloric plane","","Transpyloric plane","","Planum transpyloricum","","","","","","","","","","","","","","","","",""
"100547","100526","Planum subcostale","Subcostal plane","","54","B","","Subcostal plane","","Subcostal plane","","Planum subcostale","","","","","","","","","","","","","","","","",""
"100552","100526","Planum transumbilicalis","Transumbilical plane","","55","B","","Transumbilical plane","","Transumbilical plane","","Planum transumbilicalis","","","","","","","","","","","","","","","","",""
"100560","100526","Planum supracristale","Supracristal plane","","56","B","","Supracristal plane","","Supracristal plane","","Planum supracristale","","","","","","","","","","","","","","","","",""
"100571","100526","Planum intertuberculare","Intertubercular plane","","57","B","","Intertubercular plane","","Intertubercular plane","","Planum intertuberculare","","","","","","","","","","","","","","","","",""
"100583","100526","Planum interspinale","Interspinous plane","","58","B","","Interspinous plane","","Interspinous plane","","Planum interspinale","","","","","","","","","","","","","","","","",""
"100594","0","Lineae referentiae","Reference lines","","59","B","G","Reference lines","","Reference lines","","Lineae referentiae","","","","","","","","","","","","","","","","",""
"100604","100594","Linea mediana anterior","Anterior median line","","60","B","","Anterior median line","","Anterior median line","","Linea mediana anterior","","","","","","","","","","","","","","","","",""
"100612","100594","Linea sternalis","Sternal line","","61","B","","Sternal line","","Sternal line","","Linea sternalis","","","","","","","","","","","","","","","","",""
"100620","100594","Linea parasternalis","Parasternal line","","62","B","","Parasternal line","","Parasternal line","","Linea parasternalis","","","","","","","","","","","","","","","","",""
"100636","100594","Linea medioclavicularis","Midclavicular line","","63","B","","Midclavicular line","","Midclavicular line","","Linea medioclavicularis","","","","","","","","","","","","","","","","",""
"100648","100594","Linea mamillaris","Mammillary line","","64","B","","Mammillary line","Nipple line","Mamillary line","Nipple line","Linea mamillaris","","","","","","","","","","","","","","","","",""
"100657","100594","Linea axillaris anterior","Anterior axillary line","","65","B","","Anterior axillary line","","Anterior axillary line","","Linea axillaris anterior","","","","","","","","","","","","","","","","",""
"100661","100594","Linea axillaris media","Midaxillary line","","66","B","","Midaxillary line","","Midaxillary line","","Linea axillaris media","","","","","","","","","","","","","","","","",""
"100673","100594","Linea axillaris posterior","Posterior axillary line","","67","B","","Posterior axillary line","","Posterior axillary line","","Linea axillaris posterior","","","","","","","","","","","","","","","","",""
"100685","100594","Linea scapularis","Scapular line","","68","B","","Scapular line","","Scapular line","","Linea scapularis","","","","","","","","","","","","","","","","",""
"100699","100594","Linea paravertebralis","Paravertebral line","","69","B","","Paravertebral line","","Paravertebral line","","Linea paravertebralis","","","","","","","","","","","","","","","","",""
"100700","100594","Linea mediana posterior","Posterior median line","","70","B","","Posterior median line","","Posterior median line","","Linea mediana posterior","","","","","","","","","","","","","","","","",""
"100713","0","Positiones corporis humani","Human body positions","","71","B","G","Human body positions","","Human body positions","","Positiones corporis humani","","","","","","","","","","","","","","","","",""
"100721","100713","Positio anatomica","Anatomical position","","72","B","","Anatomical position","Human anatomical position","Anatomical position","Human anatomical position","Positio anatomica","Positio anatomica humana","","","","","","","","","","","","","","","",""
"100737","100713","Positio anatomica comparativa","Comparative anatomical position","","73","B","","Comparative anatomical position","","Comparative anatomical position","","Positio anatomica comparativa","","","","","","","","","","","","","","","","",""
"100745","100713","Positio prona","Prone position","","74","B","","Prone position","","Prone position","","Positio prona","","","","","","","","","","","","","","","","",""
"100759","100713","Positio supina","Supine position","","75","B","","Supine position","","Supine position","","Positio supina","","","","","","","","","","","","","","","","",""
"100768","0","Motus","Movements","","76","B","G","Movements","","Movements","","Motus","","","","","","","","","","","","","","","","",""
"100776","100768","Abductio","Abduction","","77","B","","Abduction","","Abduction","","Abductio","","","","","","","","","","","","","","","","",""
"100784","100768","Adductio","Adduction","","78","B","","Adduction","","Adduction","","Adductio","","","","","","","","","","","","","","","","",""
"100792","100768","Rotatio lateralis","Lateral rotation","","79","B","","Lateral rotation","External rotation","Lateral rotation","External rotation","Rotatio lateralis","Rotatio externa; Exorotatio","","","","","","","","","","","","","","","",""
"100807","100768","Rotatio medialis","Medial rotation","","80","B","","Medial rotation","Internal rotation","Medial rotation","Internal rotation","Rotatio medialis","Rotatio interna; Endorotatio","","","","","","","","","","","","","","","",""
"100810","100768","Circumductio","Circumduction","","81","B","","Circumduction","","Circumduction","","Circumductio","","","","","","","","","","","","","","","","",""
"100829","100768","Flexio","Flexion","","82","B","","Flexion","","Flexion","","Flexio","","","","","","","","","","","","","","","","",""
"100832","100768","Extensio","Extension","","83","B","","Extension","","Extension","","Extensio","","","","","","","","","","","","","","","","",""
"100841","100768","Pronatio","Pronation","","84","B","","Pronation","","Pronation","","Pronatio","","","","","","","","","","","","","","","","",""
"100855","100768","Supinatio","Supination","","85","B","","Supination","","Supination","","Supinatio","","","","","","","","","","","","","","","","",""
"100864","100768","Oppositio","Opposition","","86","B","","Opposition","","Opposition","","Oppositio","","","","","","","","","","","","","","","","",""
"100878","100768","Repositio","Reposition","","87","B","","Reposition","","Reposition","","Repositio","","","","","","","","","","","","","","","","",""
"100886","100768","Plantiflexio","Plantar flexion","","88","B","","Plantar flexion","Plantiflexion","Plantar flexion","Plantiflexion","Plantiflexio","","","","","","","","","","","","","","","","",""
"100893","100768","Dorsiflexio","Dorsiflexion","","89","B","","Dorsiflexion","","Dorsiflexion","","Dorsiflexio","","","","","","","","","","","","","","","","",""
"100908","100768","Elevatio","Elevation","","90","B","","Elevation","","Elevation","","Elevatio","","","","","","","","","","","","","","","","",""
"100919","100768","Depressio","Depression","","91","B","","Depression","","Depression","","Depressio","","","","","","","","","","","","","","","","",""
"100924","100768","Eversio","Eversion","","92","B","","Eversion","","Eversion","","Eversio","","","","","","","","","","","","","","","","",""
"100935","100768","Inversio","Inversion","","93","B","","Inversion","","Inversion","","Inversio","","","","","","","","","","","","","","","","",""
"100943","100768","Protractio","Protraction","","94","B","","Protraction","","Protraction","","Protractio","","","","","","","","","","","","","","","","",""
"100956","100768","Retractio","Retraction","","95","B","","Retraction","","Retraction","","Retractio","","","","","","","","","","","","","","","","",""
"100962","0","Corpus humanum","Human body","","96","B","G","Human body","","Human body","","Corpus humanum","","","","","","","","","","","","","","","","",""
"100970","100962","Partes corporis humani","Parts of human body","A01.1.00.000","97","B","G","Parts of human body","","Parts of human body","","Partes corporis humani","","","","","","","","","","","","","","","","",""
"100981","100970","Caput","Head","A01.1.00.001","98","B","G","Head","","Head","","Caput","","","","","","","","","","","","","","","","",""
"100997","100981","Pars neurocranialis capitis","Neurocranial part of head","","99","B","","Neurocranial part of head","","Neurocranial part of head","","Pars neurocranialis capitis","","","","","","","","","","","","","","","","",""
"101000","100997","Cavitas cranii","Cranial cavity","A01.1.00.048","100","B","","Cranial cavity","","Cranial cavity","","Cavitas cranii","","","","","","","","","","","","","","","","",""
"101013","100997","Frons","Forehead","A01.1.00.002","101","B","","Forehead","","Forehead","","Frons","","","","","","","","","","","","","","","","",""
"101021","100997","Occiput","Occiput","A01.1.00.003","102","B","","Occiput","","Occiput","","Occiput","","","","","","","","","","","","","","","","",""
"101037","100997","Tempus","Temple","A01.1.00.004","103","B","","Temple","","Temple","","Tempus","Tempulum","","","","","","","","","","","","","","","",""
"101045","100997","Auricula","Auricle","A15.3.01.002","104","B","","Auricle","Pinna","Auricle","Pinna","Auricula","","","","","","","","","","","","","","","","",""
"101059","101045","Lobulus auriculae","Lobule of auricle","A15.3.01.003","105","B","","Lobule of auricle","Lobe of ear","Lobule of auricle","Lobe of ear","Lobulus auriculae","","","","","","","","","","","","","","","","",""
"101068","101045","Helix","Helix","A15.3.01.005","106","B","","Helix","","Helix","","Helix","","","","","","","","","","","","","","","","",""
"101076","101068","Crus helicis","Crus of helix","A15.3.01.006","107","B","","Crus of helix","","Crus of helix","","Crus helicis","","","","","","","","","","","","","","","","",""
"101084","101045","Antihelix","Antihelix","A15.3.01.009","108","B","","Antihelix","","Antihelix","","Antihelix","","","","","","","","","","","","","","","","",""
"101092","101084","Crura antihelicis","Crura of antihelix","A15.3.01.011","109","B","","Crura of antihelix","","Crura of antihelix","","Crura antihelicis","","","","","","","","","","","","","","","","",""
"101101","101045","Antitragus","Antitragus","A15.3.01.016","110","B","","Antitragus","","Antitragus","","Antitragus","","","","","","","","","","","","","","","","",""
"101117","101045","Tragus","Tragus","A15.3.01.017","111","B","","Tragus","","Tragus","","Tragus","","","","","","","","","","","","","","","","",""
"101125","100981","Facies","Face","A01.1.00.006","112","B","","Face","","Face","","Facies","","","","","","","","","","","","","","","","",""
"101130","101125","Oculus","Eye","A01.1.00.007","113","B","","Eye","","Eye","","Oculus","","","","","","","","","","","","","","","","",""
"101149","101130","Palpebra superior","Upper eyelid","A15.2.07.025","114","B","","Upper eyelid","Superior eyelid","Upper eyelid","Superior eyelid","Palpebra superior","","","","","","","","","","","","","","","","",""
"101158","101130","Palpebra inferior","Lower eyelid","A15.2.07.026","115","B","","Lower eyelid","Inferior eyelid","Lower eyelid","Inferior eyelid","Palpebra inferior","","","","","","","","","","","","","","","","",""
"101163","101125","Bucca","Cheek","A01.1.00.008","116","B","","Cheek","","Cheek","","Bucca","","","","","","","","","","","","","","","","",""
"101174","101125","Nasus externus","External nose","","117","B","","External nose","","External nose","","Nasus externus","","","","","","","","","","","","","","","","",""
"101182","101174","Ala nasi","Ala of nose","A06.1.01.005","118","B","","Ala of nose","","Ala of nose","","Ala nasi","","","","","","","","","","","","","","","","",""
"101196","101125","Stoma","Mouth","A01.1.00.010","119","B","","Mouth","","Mouth","","Stoma","Ostium orale","","","","","","","","","","","","","","","",""
"101207","101196","Labium superius oris","Upper lip","A05.1.01.006","120","B","","Upper lip","Superior lip","Upper lip","Superior lip","Labium superius oris","","","","","","","","","","","","","","","","",""
"101210","101196","Labium inferius oris","Lower lip","A05.1.01.009","121","B","","Lower lip","Inferior lip","Lower lip","Inferior lip","Labium inferius oris","","","","","","","","","","","","","","","","",""
"101229","101125","Mentum","Chin","A01.1.00.011","122","B","","Chin","","Chin","","Mentum","","","","","","","","","","","","","","","","",""
"101232","100970","Collum","Neck","A01.1.00.012","123","B","G","Neck","","Neck","","Collum","Cervix","","","","","","","","","","","","","","","",""
"101241","100970","Truncus","Trunk","A01.1.00.013","124","B","G","Trunk","","Trunk","","Truncus","","","","","","","","","","","","","","","","",""
"101255","101241","Thorax","Thorax","A01.1.00.014","125","B","","Thorax","","Thorax","","Thorax","","","","","","","","","","","","","","","","",""
"101264","101255","Cavitas thoracis","Thoracic cavity","A02.3.04.002","126","B","","Thoracic cavity","","Thoracic cavity","","Cavitas thoracis","","","","","","","","","","","","","","","","",""
"101278","101241","Abdomen","Abdomen","A01.1.00.016","127","B","","Abdomen","","Abdomen","","Abdomen","","","","","","","","","","","","","","","","",""
"101286","101278","Cavitas abdominis","Abdominal cavity","A10.1.00.001","128","B","","Abdominal cavity","","Abdominal cavity","","Cavitas abdominis","","","","","","","","","","","","","","","","",""
"101293","101241","Pelvis","Pelvis","A01.1.00.017","129","B","","Pelvis","","Pelvis","","Pelvis","","","","","","","","","","","","","","","","",""
"101308","101293","Cavitas pelvis","Pelvic cavity","A10.1.00.002","130","B","","Pelvic cavity","","Pelvic cavity","","Cavitas pelvis","","","","","","","","","","","","","","","","",""
"101319","101293","Perineum","Perineum","A09.5.00.001","131","B","","Perineum","","Perineum","","Perineum","","","","","","","","","","","","","","","","",""
"101324","101241","Pars anterior trunci","Anterior trunk","","132","B","","Anterior trunk","Ventral trunk","Anterior trunk","Ventral trunk","Pars anterior trunci","Pars ventralis trunci","","","","","","","","","","","","","","","",""
"101335","101324","Paries anterolateralis thoracis","Anterolateral thoracic wall","","133","B","","Anterolateral thoracic wall","Ventrolateral thoracic wall","Anterolateral thoracic wall","Ventrolateral thoracic wall","Paries anterolateralis thoracis","","","","","","","","","","","","","","","","",""
"101343","101324","Paries anterolateralis abdominis","Anterolateral abdominal wall","","134","B","","Anterolateral abdominal wall","Ventrolateral abdominal wall","Anterolateral abdominal wall","Ventrolateral abdominal wall","Paries anterolateralis abdominis","","","","","","","","","","","","","","","","",""
"101356","101241","Dorsum","Back","A01.1.00.018","135","B","","Back","Dorsal trunk; Posterior trunk","Back","Dorsal trunk; Posterior trunk","Dorsum","Pars posterior trunci","","","","","","","","","","","","","","","",""
"101362","101356","Dorsum thoracis","Back of thorax","","136","B","","Back of thorax","Upper back; Posterior thoracic wall","Back of thorax","Upper back; Posterior thoracic wall","Dorsum thoracis","Paries posterior thoracis","","","","","","","","","","","","","","","",""
"101370","101356","Dorsum abdominis","Back of abdomen","","137","B","","Back of abdomen","Lower back; Posterior abdominal wall","Back of abdomen","Lower back; Posterior abdominal wall","Dorsum abdominis","Paries posterior abdominis","","","","","","","","","","","","","","","",""
"101381","100970","Membrum superius","Upper limb","A01.1.00.019","138","B","G","Upper limb","","Upper limb","","Membrum superius","","","","","","","","","","","","","","","","",""
"101397","101381","Omos","Shoulder","","139","B","","Shoulder","","Shoulder","","Omos","","","","","","","","","","","","","","","","",""
"101403","101381","Axilla","Axilla","A01.1.00.021","140","B","","Axilla","","Axilla","","Axilla","","","","","","","","","","","","","","","","",""
"101416","101403","Plica axillaris anterior","Anterior axillary fold","","141","B","","Anterior axillary fold","","Anterior axillary fold","","Plica axillaris anterior","","","","","","","","","","","","","","","","",""
"101427","101403","Plica axillaris posterior","Posterior axillary fold","","142","B","","Posterior axillary fold","","Posterior axillary fold","","Plica axillaris posterior","","","","","","","","","","","","","","","","",""
"101434","101381","Pars libera membri superioris","Free part of upper limb","","143","B","","Free part of upper limb","","Free part of upper limb","","Pars libera membri superioris","Membrum superius liberum","","","","","","","","","","","","","","","",""
"101442","101434","Brachium","Arm","A01.1.00.022","144","B","","Arm","","Arm","","Brachium","","","","","","","","","","","","","","","","",""
"101450","101434","Cubitus","Elbow","A01.1.00.023","145","B","","Elbow","","Elbow","","Cubitus","","","","","","","","","","","","","","","","",""
"101469","101434","Antebrachium","Forearm","A01.1.00.024","146","B","","Forearm","","Forearm","","Antebrachium","","","","","","","","","","","","","","","","",""
"101475","101434","Carpus","Wrist","A01.1.00.026","147","B","","Wrist","","Wrist","","Carpus","","","","","","","","","","","","","","","","",""
"101488","101434","Manus","Hand","A01.1.00.025","148","B","","Hand","","Hand","","Manus","","","","","","","","","","","","","","","","",""
"101491","101488","Metacarpus","Metacarpus","A01.1.00.027","149","B","","Metacarpus","","Metacarpus","","Metacarpus","","","","","","","","","","","","","","","","",""
"101502","101488","Digiti manus","Digits of hand","A01.1.00.030","150","B","","Digits of hand","Fingers including thumb","Digits of hand","Fingers including thumb","Digiti manus","","","","","","","","","","","","","","","","",""
"101515","101502","Pollex","Thumb","A01.1.00.053","151","B","","Thumb","First digit of hand; Digit 1 of hand","Thumb","First digit of hand; Digit 1 of hand","Pollex","Digitus primus manus; Digitus i manus","","","","","","","","","","","","","","","",""
"101528","101502","Index","Index finger","A01.1.00.054","152","B","","Index finger","Second digit of hand; Digit 2 of hand","Index finger","Second digit of hand; Digit 2 of hand","Index","Digitus secundus manus; Digitus ii manus","","","","","","","","","","","","","","","",""
"101531","101502","Digitus medius manus","Middle finger","A01.1.00.055","153","B","","Middle finger","Third digit of hand; Digit 3 of hand","Middle finger","Third digit of hand; Digit 3 of hand","Digitus medius manus","Digitus tertius manus; Digitus iii manus","","","","","","","","","","","","","","","",""
"101544","101502","Digitus anularis","Ring finger","A01.1.00.056","154","B","","Ring finger","Fourth digit of hand; Digit 4 of hand","Ring finger","Fourth digit of hand; Digit 4 of hand","Digitus anularis","Digitus quartus manus; Digitus iv manus","","","","","","","","","","","","","","","",""
"101553","101502","Digitus minimus manus","Little finger","A01.1.00.057","155","B","","Little finger","Fifth digit of hand; Digit 5 of hand","Little finger","Fifth digit of hand; Digit 5 of hand","Digitus minimus manus","Digitus quintus manus; Digitus v manus","","","","","","","","","","","","","","","",""
"101566","100970","Membrum inferius","Lower limb","A01.1.00.031","156","B","G","Lower limb","","Lower limb","","Membrum inferius","","","","","","","","","","","","","","","","",""
"101577","101566","Natis","Buttock","","157","B","","Buttock","","Buttock","","Natis","Clunis","","","","","","","","","","","","","","","",""
"101589","101566","Coxa","Hip","A01.1.00.034","158","B","","Hip","","Hip","","Coxa","","","","","","","","","","","","","","","","",""
"101590","101566","Pars libera membri inferioris","Free part of lower limb","","159","B","","Free part of lower limb","","Free part of lower limb","","Pars libera membri inferioris","Membrum inferius liberum","","","","","","","","","","","","","","","",""
"101609","101590","Femur","Thigh","A01.1.00.035","160","B","","Thigh","","Thigh","","Femur","","","","","","","","","","","","","","","","",""
"101614","101590","Genu","Knee","A01.1.00.036","161","B","","Knee","","Knee","","Genu","","","","","","","","","","","","","","","","",""
"101623","101614","Poples","Posterior part of knee","A01.1.00.037","162","B","","Posterior part of knee","","Posterior part of knee","","Poples","","","","","","","","","","","","","","","","",""
"101638","101590","Crus","Leg","A01.1.00.038","163","B","","Leg","","Leg","","Crus","","","","","","","","","","","","","","","","",""
"101646","101638","Sura","Calf","A01.1.00.039","164","B","","Calf","","Calf","","Sura","","","","","","","","","","","","","","","","",""
"101651","101590","Talus","Ankle","A01.1.00.041","165","B","","Ankle","","Ankle","","Talus","","","","","","","","","","","","","","","","",""
"101667","101590","Pes","Foot","A01.1.00.040","166","B","","Foot","","Foot","","Pes","","","","","","","","","","","","","","","","",""
"101672","101667","Calx","Heel","A01.1.00.042","167","B","","Heel","","Heel","","Calx","","","","","","","","","","","","","","","","",""
"101680","101667","Pars media pedis","Midfoot","","168","B","","Midfoot","","Midfoot","","Pars media pedis","","","","","","","","","","","","","","","","",""
"101695","101667","Metatarsus","Metatarsus","A01.1.00.043","169","B","","Metatarsus","","Metatarsus","","Metatarsus","","","","","","","","","","","","","","","","",""
"101705","101667","Digiti pedis","Digits of foot","A01.1.00.046","170","B","","Digits of foot","Toes","Digits of foot","Toes","Digiti pedis","","","","","","","","","","","","","","","","",""
"101718","101705","Hallux","Great toe","A01.1.00.058","171","B","","Great toe","First toe; First digit of foot; Digit 1 of foot","Great toe","First toe; First digit of foot; Digit 1 of foot","Hallux","Digitus primus pedis; Digitus i pedis","","","","","","","","","","","","","","","",""
"101726","101705","Digitus secundus pedis","Second toe","A01.1.00.059","172","B","","Second toe","Second digit of foot; Digit 2 of foot","Second toe","Second digit of foot; Digit 2 of foot","Digitus secundus pedis","Digitus ii pedis","","","","","","","","","","","","","","","",""
"101739","101705","Digitus tertius pedis","Third toe","A01.1.00.060","173","B","","Third toe","Third digit of foot; Digit 3 of foot","Third toe","Third digit of foot; Digit 3 of foot","Digitus tertius pedis","Digitus iii pedis","","","","","","","","","","","","","","","",""
"101747","101705","Digitus quartus pedis","Fourth toe","A01.1.00.061","174","B","","Fourth toe","Fourth digit of foot; Digit 4 of foot","Fourth toe","Fourth digit of foot; Digit 4 of foot","Digitus quartus pedis","Digitus iv pedis","","","","","","","","","","","","","","","",""
"101752","101705","Digitus minimus pedis","Little toe","A01.1.00.062","175","B","","Little toe","Fifth toe; Fifth digit of foot; Digit 5 of foot","Little toe","Fifth toe; Fifth digit of foot; Digit 5 of foot","Digitus minimus pedis","Digitus quintus pedis; Digitus v pedis","","","","","","","","","","","","","","","",""
"101760","100962","Regiones corporis humani","Regions of human body","A01.2.01.000","176","B","G","Regions of human body","","Regions of human body","","Regiones corporis humani","","","","","","","","","","","","","","","","",""
"101771","101760","Regiones capitis","Regions of head","A01.2.01.001","177","B","G","Regions of head","Head region","Regions of head","Head region","Regiones capitis","Regio capitalis","","","","","","","","","","","","","","","",""
"101783","101771","Regiones epicranii","Regions of epicranium","","178","B","","Regions of epicranium","Epicranial region","Regions of epicranium","Epicranial region","Regiones epicranii","Regio epicranialis","","","","","","","","","","","","","","","",""
"101794","101783","Vertex","Vertex","A02.1.00.033","179","B","","Vertex","Vertex of head","Vertex","Vertex of head","Vertex","Vertex capitis","","","","","","","","","","","","","","","",""
"101806","101783","Regio frontalis","Frontal region","A01.2.01.002","180","B","","Frontal region","","Frontal region","","Regio frontalis","","","","","","","","","","","","","","","","",""
"101811","101806","Supercilium","Eyebrow","A15.2.07.023","181","B","","Eyebrow","","Eyebrow","","Supercilium","","","","","","","","","","","","","","","","",""
"101822","101783","Regio parietalis","Parietal region","A01.2.01.003","182","B","","Parietal region","","Parietal region","","Regio parietalis","","","","","","","","","","","","","","","","",""
"101833","101783","Regio occipitalis","Occipital region","A01.2.01.004","183","B","","Occipital region","","Occipital region","","Regio occipitalis","","","","","","","","","","","","","","","","",""
"101840","101783","Regio temporalis","Temporal region","A01.2.01.005","184","B","","Temporal region","","Temporal region","","Regio temporalis","","","","","","","","","","","","","","","","",""
"101854","101783","Regio mastoidea","Mastoid region","A01.2.01.007","185","B","","Mastoid region","","Mastoid region","","Regio mastoidea","","","","","","","","","","","","","","","","",""
