#"Status","Id","Translation","Synonyms"
"T","105576","Condylus occipitalis",""
"T","105584","Canalis condylaris",""
"T","105592","Canalis hypoglossus","Canalis nervi hypoglossi"
"T","105602","Fossa condylaris",""
"T","105615","Tuberculum jugulare",""
"T","105628","Incisura jugularis ossis occipitalis",""
"T","105631","Processus jugularis",""
"T","105644","Processus intrajugularis ossis occipitalis",""
"T","105653","Squama occipitalis",""
"T","105666","Margo mastoideus ossis occipitalis",""
"T","105677","Margo lambdoideus ossis occipitalis",""
"T","105689","Protuberantia occipitalis externa",""
"T","105690","Crista occipitalis externa",""
"T","105703","Linea nuchalis suprema",""
"T","105716","Linea nuchalis superior",""
"T","105727","Linea nuchalis inferior",""
"T","105734","Planum occipitale",""
"T","105742","Eminentia cruciformis",""
"T","105750","Protuberantia occipitalis interna",""
"T","105769","Crista occipitalis interna",""
"T","105775","Sulcus sinus transversi",""
"T","105788","Sulcus sinus occipitalis",""
"T","105791","Sulcus sinus marginalis",""
"T","105809","Processus paramastoideus",""
"T","105814","Fossa cerebralis",""
"T","105823","Fossa cerebellaris",""
"T","105838","Fossa vermiana",""
"T","105846","Os sphenoideum","Os sphenoidale"
"T","105851","Corpus ossis sphenoidei","Corpus ossis sphenoidalis"
"T","105867","Jugum sphenoideum","Jugum sphenoidale; Planum sphenoideum"
"T","105872","Limbus sphenoideus","Limbus sphenoidalis"
"T","105880","Sulcus chiasmaticus","Sulcus prechiasmaticus; Sulcus praechiasmaticus"
"T","105895","Sella turcica",""
"T","105907","Tuberculum sellae",""
"T","105910","Processus clinoideus medius",""
"T","105929","Fossa hypophysialis",""
"T","105932","Canalis craniopharyngeus",""
"T","105941","Dorsum sellae",""
"T","105955","Processus clinoideus posterior",""
"T","105964","Sulcus carotidis","Sulcus caroticus"
"T","105978","Lingula sphenoidea","Lingula sphenoidalis"
"T","105986","Crista sphenoidea","Crista sphenoidalis"
"T","105993","Rostrum sphenoideum","Rostrum sphenoidale"
"T","106005","Sinus ossis sphenoidei","Sinus sphenoideus osseus"
"T","106018","Apertura sinus ossis sphenoidei","Apertura sinus ossis sphenoidalis"
"T","106026","Septum sinuum sphenoideorum","Septum sinuum sphenoidalium"
"T","106039","Concha sphenoidea","Concha sphenoidalis"
"T","106047","Ala minor",""
"T","106052","Canalis opticus",""
"T","106060","Tuberculum infraopticum",""
"T","106071","Processus clinoideus anterior",""
"T","106083","Foramen caroticoclinoideum",""
"T","106094","Crista alaris",""
"T","106107","Ala major",""
